rho, beta, gamma, dT, FI, algo, mean
0.5,0.1,2.5,4.0,-1.0,MICEe-TrueCFGDv4,1.386
0.5,0.1,2.5,2.0,-1.0,MICEe-TrueCFGDv2,2.087
0.5,0.1,2.5,20.0,-1.0,MICE-ICSMAPURE,91.903
0.5,0.01,-1.0,20.0,-1.0,ICSMA,814.942
0.6,0.1,2.5,20.0,-1.0,MICEe-TrueCFGDv4,1.653
0.6,0.1,2.5,1.0,-1.0,MICEe-TrueCFGDv2,3.041
0.6,0.1,2.5,15.0,-1.0,MICE-ICSMAPURE,411.091
0.6,0.01,-1.0,5.0,-1.0,ICSMA,2448.411
0.7,0.1,2.5,20.0,-1.0,MICEe-TrueCFGDv4,2.981
0.7,0.1,2.5,5.0,-1.0,MICEe-TrueCFGDv2,21.241
0.7,0.1,2.5,20.0,-1.0,MICE-ICSMAPURE,1346.761
0.7,0.01,-1.0,10.0,-1.0,ICSMA,5092.323
0.8,0.1,2.5,2.0,-1.0,MICEe-TrueCFGDv4,5.855
0.8,0.1,2.5,15.0,-1.0,MICEe-TrueCFGDv2,112.277
0.8,0.1,2.5,20.0,-1.0,MICE-ICSMAPURE,2950.302
0.8,0.01,-1.0,1.0,-1.0,ICSMA,8174.947
0.9,0.1,2.5,20.0,-1.0,MICEe-TrueCFGDv4,12.564
0.9,0.1,2.5,15.0,-1.0,MICEe-TrueCFGDv2,213.178
0.9,0.1,2.5,10.0,-1.0,MICE-ICSMAPURE,5072.259
0.9,0.01,-1.0,5.0,-1.0,ICSMA,11398.209
1.0,0.1,2.5,3.0,-1.0,MICEe-TrueCFGDv4,41.334
1.0,0.1,2.5,1.0,-1.0,MICEe-TrueCFGDv2,395.31
1.0,0.1,2.5,20.0,-1.0,MICE-ICSMAPURE,7712.44
1.0,0.01,-1.0,1.0,-1.0,ICSMA,14645.505
