[8, 2, 5, 7]
[8, 3, 5, 7]
[8, 5, 6, 7]
[8, 9, 2, 5]
[8, 9, 3, 5]
[8, 9, 5, 6]
[8, 10, 2, 7]
[8, 10, 3, 4, 7]
[8, 10, 4, 6, 7]
[8, 9, 10, 2]
[8, 9, 10, 3, 4]
[8, 9, 10, 4, 6]
[2, 11, 5, 7]
[3, 11, 5, 7]
[11, 5, 6, 7]
[9, 2, 11, 5]
[3, 9, 11, 5]
[9, 11, 5, 6]
[10, 11, 2, 7]
[3, 10, 11, 4, 7]
[10, 11, 4, 6, 7]
[9, 10, 11, 2]
[3, 9, 10, 11, 4]
[9, 10, 11, 4, 6]
[8, 12, 5, 7]
[8, 9, 12, 5]
[8, 10, 12, 7]
[8, 9, 10, 12]
[11, 12, 5, 7]
[9, 11, 12, 5]
[10, 11, 12, 7]
[9, 10, 11, 12]
[2, 5, 13, 7]
[3, 5, 13, 7]
[5, 13, 6, 7]
[9, 2, 13, 5]
[9, 3, 13, 5]
[9, 13, 6, 5]
[10, 2, 13, 7]
[10, 3, 4, 13, 7]
[10, 4, 13, 6, 7]
[9, 10, 2, 13]
[9, 10, 3, 4, 13]
[9, 10, 4, 13, 6]
[5, 12, 13, 7]
[9, 12, 13, 5]
[10, 12, 13, 7]
[9, 10, 12, 13]
[8, 2, 14, 7]
[8, 0, 3, 14, 7]
[8, 1, 3, 14, 7]
[8, 3, 4, 14, 7]
[8, 0, 6, 14, 7]
[8, 1, 6, 14, 7]
[8, 4, 6, 14, 7]
[8, 9, 2, 14]
[8, 9, 3, 14, 0]
[8, 9, 3, 14, 1]
[8, 9, 3, 4, 14]
[8, 9, 6, 14, 0]
[8, 9, 6, 14, 1]
[8, 9, 4, 6, 14]
[2, 11, 14, 7]
[3, 0, 11, 14, 7]
[3, 1, 11, 14, 7]
[3, 11, 4, 14, 7]
[0, 11, 6, 14, 7]
[1, 11, 6, 14, 7]
[11, 4, 6, 14, 7]
[9, 2, 11, 14]
[3, 9, 11, 14, 0]
[3, 9, 11, 14, 1]
[3, 9, 11, 4, 14]
[0, 9, 11, 6, 14]
[9, 11, 6, 14, 1]
[9, 11, 4, 6, 14]
[8, 12, 14, 7]
[8, 9, 12, 14]
[11, 12, 14, 7]
[9, 11, 12, 14]
[2, 13, 14, 7]
[0, 3, 13, 14, 7]
[1, 3, 13, 14, 7]
[3, 4, 13, 14, 7]
[0, 6, 13, 14, 7]
[1, 6, 13, 14, 7]
[6, 4, 13, 14, 7]
[9, 2, 13, 14]
[0, 9, 3, 13, 14]
[9, 3, 13, 14, 1]
[9, 3, 4, 13, 14]
[0, 9, 6, 13, 14]
[9, 6, 13, 14, 1]
[9, 6, 4, 13, 14]
[12, 13, 14, 7]
[9, 12, 13, 14]
[8, 7, 5, 15]
[8, 9, 5, 15]
[8, 10, 7, 4, 15]
[8, 9, 10, 4, 15]
[7, 11, 5, 15]
[9, 11, 5, 15]
[7, 10, 11, 4, 15]
[9, 10, 11, 4, 15]
[7, 5, 13, 15]
[9, 5, 13, 15]
[10, 7, 4, 13, 15]
[9, 10, 4, 13, 15]
[8, 0, 7, 14, 15]
[8, 1, 7, 14, 15]
[8, 7, 4, 14, 15]
[8, 9, 0, 14, 15]
[8, 9, 1, 14, 15]
[8, 9, 4, 14, 15]
[7, 0, 11, 14, 15]
[7, 1, 11, 14, 15]
[7, 11, 4, 14, 15]
[0, 9, 11, 14, 15]
[9, 11, 1, 14, 15]
[9, 11, 4, 14, 15]
[0, 7, 13, 14, 15]
[1, 7, 13, 14, 15]
[7, 4, 13, 14, 15]
[0, 9, 13, 14, 15]
[9, 1, 13, 14, 15]
[9, 4, 13, 14, 15]
