[0, 1, 10, 4, 13]
[0, 10, 3, 4, 13]
[0, 1, 10, 13, 5]
[0, 10, 3, 13, 5]
[0, 1, 10, 13, 7]
[8, 1, 10, 13, 0]
[8, 0, 10, 3, 13]
[0, 9, 10, 4, 13]
[0, 9, 10, 13, 5]
[8, 9, 10, 13, 0]
[1, 10, 11, 4, 13]
[3, 10, 11, 4, 13]
[1, 10, 11, 13, 5]
[3, 10, 11, 13, 5]
[1, 10, 11, 13, 7]
[8, 1, 10, 11, 13]
[8, 3, 10, 11, 13]
[9, 10, 11, 4, 13]
[9, 10, 11, 13, 5]
[8, 9, 10, 11, 13]
[0, 1, 10, 4, 14]
[0, 10, 3, 4, 14]
[0, 1, 10, 5, 14]
[0, 10, 3, 5, 14]
[0, 1, 10, 14, 7]
[8, 1, 10, 14, 0]
[8, 0, 10, 3, 14]
[0, 9, 10, 4, 14]
[0, 9, 10, 5, 14]
[8, 9, 10, 14, 0]
[1, 10, 11, 4, 14]
[3, 10, 11, 4, 14]
[1, 10, 11, 5, 14]
[3, 10, 11, 5, 14]
[1, 10, 11, 14, 7]
[8, 1, 10, 11, 14]
[8, 3, 10, 11, 14]
[9, 10, 11, 4, 14]
[9, 10, 11, 5, 14]
[8, 9, 10, 11, 14]
[0, 4, 12, 14, 1]
[0, 4, 3, 12, 14]
[0, 1, 12, 5, 14]
[0, 3, 12, 5, 14]
[0, 1, 12, 14, 7]
[8, 1, 12, 14, 0]
[8, 0, 3, 12, 14]
[0, 9, 12, 14, 4]
[0, 9, 12, 5, 14]
[8, 9, 12, 14, 0]
[4, 11, 12, 14, 1]
[3, 4, 11, 12, 14]
[1, 11, 12, 5, 14]
[3, 11, 12, 5, 14]
[1, 11, 12, 14, 7]
[8, 1, 11, 12, 14]
[8, 3, 11, 12, 14]
[9, 11, 12, 14, 4]
[9, 11, 12, 5, 14]
[8, 9, 11, 12, 14]
[0, 1, 2, 4, 10, 15]
[0, 2, 3, 4, 10, 15]
[0, 1, 2, 5, 10, 15]
[0, 2, 3, 5, 10, 15]
[0, 1, 4, 6, 10, 15]
[0, 3, 4, 6, 10, 15]
[0, 1, 2, 7, 10, 15]
[0, 1, 6, 7, 10, 15]
[0, 1, 2, 8, 10, 15]
[0, 2, 3, 8, 10, 15]
[0, 1, 6, 8, 10, 15]
[0, 3, 6, 8, 10, 15]
[0, 2, 4, 9, 10, 15]
[0, 2, 5, 9, 10, 15]
[0, 4, 6, 9, 10, 15]
[0, 2, 8, 9, 10, 15]
[0, 6, 8, 9, 10, 15]
[1, 2, 4, 10, 11, 15]
[2, 3, 4, 10, 11, 15]
[1, 2, 5, 10, 11, 15]
[2, 3, 5, 10, 11, 15]
[1, 4, 6, 10, 11, 15]
[3, 4, 6, 10, 11, 15]
[1, 2, 7, 10, 11, 15]
[1, 6, 7, 10, 11, 15]
[1, 2, 8, 10, 11, 15]
[2, 3, 8, 10, 11, 15]
[1, 6, 8, 10, 11, 15]
[3, 6, 8, 10, 11, 15]
[2, 4, 9, 10, 11, 15]
[2, 5, 9, 10, 11, 15]
[4, 6, 9, 10, 11, 15]
[2, 8, 9, 10, 11, 15]
[6, 8, 9, 10, 11, 15]
[0, 1, 2, 4, 12, 15]
[0, 2, 3, 4, 12, 15]
[0, 1, 2, 5, 12, 15]
[0, 2, 3, 5, 12, 15]
[0, 1, 4, 6, 12, 15]
[0, 3, 4, 6, 12, 15]
[0, 1, 2, 7, 12, 15]
[0, 1, 6, 7, 12, 15]
[0, 1, 2, 8, 12, 15]
[0, 2, 3, 8, 12, 15]
[0, 1, 6, 8, 12, 15]
[0, 3, 6, 8, 12, 15]
[0, 2, 4, 9, 12, 15]
[0, 2, 5, 9, 12, 15]
[0, 4, 6, 9, 12, 15]
[0, 2, 8, 9, 12, 15]
[0, 6, 8, 9, 12, 15]
[1, 2, 4, 11, 12, 15]
[2, 3, 4, 11, 12, 15]
[1, 2, 5, 11, 12, 15]
[2, 3, 5, 11, 12, 15]
[1, 4, 6, 11, 12, 15]
[3, 4, 6, 11, 12, 15]
[1, 2, 7, 11, 12, 15]
[1, 6, 7, 11, 12, 15]
[1, 2, 8, 11, 12, 15]
[2, 3, 8, 11, 12, 15]
[1, 6, 8, 11, 12, 15]
[3, 6, 8, 11, 12, 15]
[2, 4, 9, 11, 12, 15]
[2, 5, 9, 11, 12, 15]
[4, 6, 9, 11, 12, 15]
[2, 8, 9, 11, 12, 15]
[6, 8, 9, 11, 12, 15]
