[9, 2, 3, 1]
[9, 3, 4, 1]
[9, 2, 6, 1]
[9, 4, 6, 1]
[9, 2, 3, 7]
[9, 3, 4, 7]
[9, 2, 6, 7]
[9, 4, 6, 7]
[0, 9, 10, 2, 5]
[9, 10, 2, 5, 1]
[0, 9, 10, 4, 5]
[9, 10, 4, 5, 1]
[9, 10, 2, 5, 7]
[9, 10, 4, 5, 7]
[3, 9, 2, 11, 0]
[3, 9, 11, 4, 0]
[0, 9, 2, 11, 5]
[0, 9, 11, 4, 5]
[0, 9, 2, 11, 6]
[0, 9, 11, 4, 6]
[1, 2, 12, 6]
[4, 12, 6, 1]
[2, 12, 6, 7]
[4, 12, 6, 7]
[8, 1, 2, 3, 12]
[8, 4, 3, 12, 1]
[8, 2, 3, 12, 7]
[8, 4, 3, 12, 7]
[0, 10, 2, 12, 5]
[1, 10, 2, 12, 5]
[0, 4, 10, 12, 5]
[4, 10, 12, 5, 1]
[10, 2, 12, 5, 7]
[4, 10, 12, 5, 7]
[0, 2, 11, 12, 5]
[0, 4, 11, 12, 5]
[0, 2, 11, 12, 6]
[0, 4, 11, 12, 6]
[0, 2, 3, 8, 11, 12]
[0, 3, 4, 8, 11, 12]
[9, 2, 3, 13]
[9, 3, 4, 13]
[9, 2, 13, 5]
[9, 4, 13, 5]
[9, 2, 13, 6]
[9, 4, 13, 6]
[2, 12, 13, 5]
[4, 12, 13, 5]
[2, 12, 13, 6]
[4, 12, 13, 6]
[8, 2, 3, 12, 13]
[8, 4, 3, 12, 13]
[0, 9, 2, 3, 14]
[0, 9, 3, 4, 14]
[0, 9, 2, 5, 14]
[0, 9, 4, 5, 14]
[0, 9, 2, 6, 14]
[0, 9, 4, 6, 14]
[0, 2, 12, 5, 14]
[0, 4, 12, 5, 14]
[0, 2, 12, 6, 14]
[0, 4, 12, 6, 14]
[0, 2, 3, 8, 12, 14]
[0, 3, 4, 8, 12, 14]
[1, 2, 3, 15]
[1, 3, 4, 15]
[1, 2, 6, 15]
[1, 4, 6, 15]
[3, 2, 7, 15]
[3, 7, 4, 15]
[2, 7, 6, 15]
[7, 4, 6, 15]
[0, 10, 2, 5, 15]
[1, 10, 2, 5, 15]
[0, 10, 4, 5, 15]
[1, 10, 4, 5, 15]
[2, 10, 7, 5, 15]
[10, 7, 4, 5, 15]
[3, 0, 2, 11, 15]
[3, 0, 11, 4, 15]
[0, 2, 11, 5, 15]
[0, 11, 4, 5, 15]
[0, 2, 11, 6, 15]
[0, 11, 4, 6, 15]
[2, 3, 13, 15]
[3, 4, 13, 15]
[2, 5, 13, 15]
[4, 5, 13, 15]
[2, 13, 6, 15]
[4, 13, 6, 15]
[0, 2, 3, 14, 15]
[0, 3, 4, 14, 15]
[0, 2, 5, 14, 15]
[0, 4, 5, 14, 15]
[0, 2, 6, 14, 15]
[0, 4, 6, 14, 15]
