[1, 2, 5, 6]
[0, 1, 4, 5, 6]
[1, 3, 4, 5, 6]
[0, 1, 5, 6, 7]
[1, 3, 5, 6, 7]
[9, 2, 5, 6]
[0, 9, 4, 5, 6]
[9, 3, 4, 5, 6]
[0, 9, 5, 6, 7]
[9, 3, 5, 6, 7]
[1, 10, 2, 5]
[0, 1, 10, 4, 5]
[1, 10, 3, 4, 5]
[0, 1, 10, 5, 7]
[1, 10, 3, 5, 7]
[8, 1, 10, 2]
[8, 1, 10, 4, 0]
[8, 1, 10, 3, 4]
[8, 1, 10, 0, 7]
[8, 1, 10, 3, 7]
[9, 10, 2, 5]
[0, 9, 10, 4, 5]
[9, 10, 3, 4, 5]
[0, 9, 10, 5, 7]
[9, 10, 3, 5, 7]
[8, 9, 10, 2]
[8, 9, 10, 4, 0]
[8, 9, 10, 3, 4]
[8, 9, 10, 0, 7]
[8, 9, 10, 3, 7]
[2, 11, 5, 6]
[0, 11, 4, 5, 6]
[3, 11, 4, 5, 6]
[0, 11, 5, 6, 7]
[3, 11, 5, 6, 7]
[2, 10, 11, 5]
[0, 10, 11, 4, 5]
[3, 10, 11, 4, 5]
[0, 10, 11, 5, 7]
[3, 10, 11, 5, 7]
[8, 10, 11, 2]
[8, 0, 10, 11, 4]
[8, 3, 10, 11, 4]
[8, 0, 10, 11, 7]
[8, 3, 10, 11, 7]
[1, 2, 12, 5]
[0, 4, 12, 5, 1]
[4, 3, 12, 5, 1]
[0, 1, 12, 5, 7]
[1, 3, 12, 5, 7]
[8, 1, 2, 12]
[8, 4, 12, 0, 1]
[8, 4, 3, 12, 1]
[8, 1, 12, 0, 7]
[8, 1, 3, 12, 7]
[9, 2, 12, 5]
[0, 9, 12, 5, 4]
[9, 3, 12, 5, 4]
[0, 9, 12, 5, 7]
[9, 3, 12, 5, 7]
[8, 9, 2, 12]
[8, 9, 12, 4, 0]
[8, 9, 3, 12, 4]
[8, 9, 12, 0, 7]
[8, 9, 3, 12, 7]
[2, 11, 12, 5]
[0, 4, 11, 12, 5]
[3, 4, 11, 12, 5]
[0, 11, 12, 5, 7]
[3, 11, 12, 5, 7]
[8, 2, 11, 12]
[8, 4, 11, 12, 0]
[8, 4, 11, 12, 3]
[8, 0, 11, 12, 7]
[8, 3, 11, 12, 7]
[2, 13, 6, 5]
[0, 5, 13, 6, 7]
[3, 5, 13, 6, 7]
[10, 2, 13, 5]
[0, 10, 5, 13, 7]
[10, 3, 5, 13, 7]
[8, 10, 2, 13]
[8, 0, 10, 13, 7]
[8, 10, 3, 13, 7]
[2, 12, 13, 5]
[0, 5, 12, 13, 7]
[5, 3, 12, 13, 7]
[8, 2, 12, 13]
[8, 0, 12, 13, 7]
[8, 3, 12, 13, 7]
[1, 4, 6, 14, 5]
[1, 5, 6, 14, 7]
[8, 1, 4, 14]
[8, 1, 14, 7]
[9, 4, 6, 14, 5]
[9, 5, 6, 14, 7]
[8, 9, 4, 14]
[8, 9, 14, 7]
[11, 4, 6, 14, 5]
[11, 5, 6, 14, 7]
[8, 11, 4, 14]
[8, 11, 14, 7]
[6, 5, 13, 14, 7]
[8, 13, 14, 7]
[1, 2, 6, 15]
[0, 1, 4, 6, 15]
[1, 3, 4, 6, 15]
[0, 1, 7, 6, 15]
[3, 1, 7, 6, 15]
[9, 2, 6, 15]
[0, 9, 4, 6, 15]
[9, 3, 4, 6, 15]
[0, 9, 7, 6, 15]
[3, 9, 7, 6, 15]
[1, 10, 2, 15]
[0, 1, 10, 4, 15]
[1, 10, 3, 4, 15]
[0, 1, 10, 7, 15]
[3, 1, 10, 7, 15]
[9, 10, 2, 15]
[0, 9, 10, 4, 15]
[9, 10, 3, 4, 15]
[0, 9, 10, 7, 15]
[3, 9, 10, 7, 15]
[2, 11, 6, 15]
[0, 11, 4, 6, 15]
[3, 11, 4, 6, 15]
[7, 0, 11, 6, 15]
[7, 3, 11, 6, 15]
[10, 11, 2, 15]
[0, 10, 11, 4, 15]
[3, 10, 11, 4, 15]
[7, 0, 10, 11, 15]
[7, 3, 10, 11, 15]
[1, 2, 12, 15]
[0, 4, 12, 1, 15]
[4, 3, 12, 1, 15]
[0, 1, 7, 12, 15]
[3, 1, 7, 12, 15]
[9, 2, 12, 15]
[0, 9, 12, 4, 15]
[9, 3, 12, 4, 15]
[0, 9, 7, 12, 15]
[3, 9, 7, 12, 15]
[2, 11, 12, 15]
[0, 4, 11, 12, 15]
[3, 4, 11, 12, 15]
[7, 0, 11, 12, 15]
[7, 3, 11, 12, 15]
[2, 13, 6, 15]
[0, 7, 13, 6, 15]
[3, 7, 13, 6, 15]
[10, 2, 13, 15]
[0, 10, 7, 13, 15]
[3, 10, 7, 13, 15]
[2, 12, 13, 15]
[0, 7, 12, 13, 15]
[3, 7, 12, 13, 15]
[1, 4, 6, 14, 15]
[1, 7, 6, 14, 15]
[9, 4, 6, 14, 15]
[9, 7, 6, 14, 15]
[11, 4, 6, 14, 15]
[7, 11, 6, 14, 15]
[6, 7, 13, 14, 15]
