[8, 2, 3, 5, 7]
[1, 2, 3, 7, 8, 9]
[1, 2, 6, 7, 8, 9]
[2, 0, 10, 3, 5]
[8, 2, 10, 3, 5]
[0, 1, 2, 3, 9, 10]
[0, 1, 2, 6, 9, 10]
[1, 2, 3, 8, 9, 10]
[1, 2, 6, 8, 9, 10]
[1, 2, 3, 7, 8, 12]
[1, 2, 6, 7, 8, 12]
[0, 1, 2, 3, 10, 12]
[0, 1, 2, 6, 10, 12]
[1, 2, 3, 8, 10, 12]
[1, 2, 6, 8, 10, 12]
[2, 5, 6, 7, 8, 13]
[2, 6, 7, 8, 9, 13]
[0, 2, 5, 6, 10, 13]
[2, 5, 6, 8, 10, 13]
[0, 2, 6, 9, 10, 13]
[2, 6, 8, 9, 10, 13]
[2, 6, 7, 8, 12, 13]
[0, 2, 6, 10, 12, 13]
[2, 6, 8, 10, 12, 13]
[3, 4, 5, 7, 8, 14]
[1, 3, 4, 7, 8, 9, 14]
[1, 6, 7, 8, 9, 14]
[0, 3, 4, 5, 10, 14]
[3, 4, 5, 8, 10, 14]
[0, 1, 3, 4, 9, 10, 14]
[0, 1, 6, 9, 10, 14]
[1, 3, 4, 8, 9, 10, 14]
[1, 6, 8, 9, 10, 14]
[1, 3, 4, 7, 8, 12, 14]
[1, 6, 7, 8, 12, 14]
[0, 1, 3, 4, 10, 12, 14]
[0, 1, 6, 10, 12, 14]
[1, 3, 4, 8, 10, 12, 14]
[1, 6, 8, 10, 12, 14]
[4, 5, 7, 8, 13, 14]
[5, 6, 7, 8, 13, 14]
[4, 7, 8, 9, 13, 14]
[6, 7, 8, 9, 13, 14]
[0, 4, 5, 10, 13, 14]
[0, 5, 6, 10, 13, 14]
[4, 5, 8, 10, 13, 14]
[5, 6, 8, 10, 13, 14]
[0, 4, 9, 10, 13, 14]
[0, 6, 9, 10, 13, 14]
[4, 8, 9, 10, 13, 14]
[6, 8, 9, 10, 13, 14]
[4, 7, 8, 12, 13, 14]
[6, 7, 8, 12, 13, 14]
[0, 4, 10, 12, 13, 14]
[0, 6, 10, 12, 13, 14]
[4, 8, 10, 12, 13, 14]
[6, 8, 10, 12, 13, 14]
[3, 2, 7, 5, 15]
[1, 2, 3, 7, 9, 15]
[1, 2, 6, 7, 9, 15]
[2, 10, 3, 5, 15]
[1, 2, 3, 9, 10, 15]
[1, 2, 6, 9, 10, 15]
[3, 2, 11, 5, 15]
[1, 2, 3, 9, 11, 15]
[1, 2, 6, 9, 11, 15]
[1, 2, 3, 7, 12, 15]
[1, 2, 6, 7, 12, 15]
[1, 2, 3, 10, 12, 15]
[1, 2, 6, 10, 12, 15]
[1, 2, 3, 11, 12, 15]
[1, 2, 6, 11, 12, 15]
[2, 5, 6, 7, 13, 15]
[2, 6, 7, 9, 13, 15]
[2, 5, 6, 10, 13, 15]
[2, 6, 9, 10, 13, 15]
[2, 5, 6, 11, 13, 15]
[2, 6, 9, 11, 13, 15]
[2, 6, 7, 12, 13, 15]
[2, 6, 10, 12, 13, 15]
[2, 6, 11, 12, 13, 15]
[3, 4, 5, 7, 14, 15]
[1, 3, 4, 7, 9, 14, 15]
[1, 6, 7, 9, 14, 15]
[3, 4, 5, 10, 14, 15]
[1, 3, 4, 9, 10, 14, 15]
[1, 6, 9, 10, 14, 15]
[3, 4, 5, 11, 14, 15]
[1, 3, 4, 9, 11, 14, 15]
[1, 6, 9, 11, 14, 15]
[1, 3, 4, 7, 12, 14, 15]
[1, 6, 7, 12, 14, 15]
[1, 3, 4, 10, 12, 14, 15]
[1, 6, 10, 12, 14, 15]
[1, 3, 4, 11, 12, 14, 15]
[1, 6, 11, 12, 14, 15]
[4, 5, 7, 13, 14, 15]
[5, 6, 7, 13, 14, 15]
[4, 7, 9, 13, 14, 15]
[6, 7, 9, 13, 14, 15]
[4, 5, 10, 13, 14, 15]
[5, 6, 10, 13, 14, 15]
[4, 9, 10, 13, 14, 15]
[6, 9, 10, 13, 14, 15]
[4, 5, 11, 13, 14, 15]
[5, 6, 11, 13, 14, 15]
[4, 9, 11, 13, 14, 15]
[6, 9, 11, 13, 14, 15]
[4, 7, 12, 13, 14, 15]
[6, 7, 12, 13, 14, 15]
[4, 10, 12, 13, 14, 15]
[6, 10, 12, 13, 14, 15]
[4, 11, 12, 13, 14, 15]
[6, 11, 12, 13, 14, 15]
