[0, 1, 2, 3, 8, 10]
[0, 2, 3, 4, 8, 10]
[0, 1, 3, 5, 8, 10]
[0, 3, 4, 5, 8, 10]
[1, 3, 5, 7, 9, 10]
[3, 4, 5, 7, 9, 10]
[1, 2, 3, 8, 9, 10]
[2, 3, 4, 8, 9, 10]
[1, 3, 5, 8, 9, 10]
[3, 4, 5, 8, 9, 10]
[0, 2, 3, 8, 10, 11]
[0, 3, 5, 8, 10, 11]
[3, 5, 7, 9, 10, 11]
[2, 3, 8, 9, 10, 11]
[3, 5, 8, 9, 10, 11]
[0, 2, 6, 8, 10, 12]
[0, 5, 6, 8, 10, 12]
[5, 6, 7, 9, 10, 12]
[2, 6, 8, 9, 10, 12]
[5, 6, 8, 9, 10, 12]
[0, 1, 2, 6, 8, 10, 14]
[0, 2, 4, 6, 8, 10, 14]
[0, 1, 5, 6, 8, 10, 14]
[0, 4, 5, 6, 8, 10, 14]
[1, 5, 6, 7, 9, 10, 14]
[4, 5, 6, 7, 9, 10, 14]
[1, 2, 6, 8, 9, 10, 14]
[2, 4, 6, 8, 9, 10, 14]
[1, 5, 6, 8, 9, 10, 14]
[4, 5, 6, 8, 9, 10, 14]
[0, 2, 6, 8, 10, 11, 14]
[0, 5, 6, 8, 10, 11, 14]
[5, 6, 7, 9, 10, 11, 14]
[2, 6, 8, 9, 10, 11, 14]
[5, 6, 8, 9, 10, 11, 14]
[0, 1, 2, 3, 8, 15]
[0, 2, 3, 4, 8, 15]
[0, 1, 3, 5, 8, 15]
[0, 3, 4, 5, 8, 15]
[1, 3, 5, 7, 9, 15]
[3, 4, 5, 7, 9, 15]
[1, 2, 3, 8, 9, 15]
[2, 3, 4, 8, 9, 15]
[1, 3, 5, 8, 9, 15]
[3, 4, 5, 8, 9, 15]
[0, 2, 3, 8, 11, 13, 15]
[0, 3, 5, 8, 11, 13, 15]
[3, 5, 7, 9, 11, 13, 15]
[2, 3, 8, 9, 11, 13, 15]
[3, 5, 8, 9, 11, 13, 15]
[0, 2, 6, 8, 12, 13, 15]
[0, 5, 6, 8, 12, 13, 15]
[5, 6, 7, 9, 12, 13, 15]
[2, 6, 8, 9, 12, 13, 15]
[5, 6, 8, 9, 12, 13, 15]
[0, 1, 2, 6, 8, 14, 15]
[0, 2, 4, 6, 8, 14, 15]
[0, 1, 5, 6, 8, 14, 15]
[0, 4, 5, 6, 8, 14, 15]
[1, 5, 6, 7, 9, 14, 15]
[4, 5, 6, 7, 9, 14, 15]
[1, 2, 6, 8, 9, 14, 15]
[2, 4, 6, 8, 9, 14, 15]
[1, 5, 6, 8, 9, 14, 15]
[4, 5, 6, 8, 9, 14, 15]
[0, 2, 6, 8, 11, 13, 14, 15]
[0, 5, 6, 8, 11, 13, 14, 15]
[5, 6, 7, 9, 11, 13, 14, 15]
[2, 6, 8, 9, 11, 13, 14, 15]
[5, 6, 8, 9, 11, 13, 14, 15]
