[0, 1, 2, 4, 7]
[0, 2, 4, 5, 7]
[0, 3, 4, 6, 7]
[0, 4, 5, 6, 7]
[8, 1, 2, 4, 0]
[8, 0, 2, 4, 5]
[8, 0, 3, 4, 6]
[8, 0, 4, 5, 6]
[0, 9, 2, 1]
[0, 9, 2, 5]
[0, 9, 3, 6]
[0, 9, 5, 6]
[0, 10, 4, 2, 7]
[0, 10, 4, 6, 7]
[8, 0, 10, 4, 2]
[8, 0, 10, 4, 6]
[0, 9, 10, 2]
[0, 9, 10, 6]
[3, 9, 11, 0]
[0, 9, 11, 5]
[0, 9, 10, 11]
[0, 1, 2, 12, 7]
[0, 2, 12, 5, 7]
[0, 3, 12, 6, 7]
[0, 12, 5, 6, 7]
[8, 1, 2, 12, 0]
[8, 0, 2, 12, 5]
[8, 0, 3, 12, 6]
[8, 0, 12, 5, 6]
[0, 1, 2, 4, 13]
[0, 2, 4, 13, 5]
[0, 3, 4, 13, 6]
[0, 4, 13, 6, 5]
[0, 10, 2, 4, 13]
[0, 10, 4, 13, 6]
[3, 0, 11, 4, 13]
[0, 11, 4, 13, 5]
[0, 10, 11, 4, 13]
[0, 1, 2, 12, 13]
[0, 2, 12, 13, 5]
[0, 3, 12, 13, 6]
[0, 12, 13, 6, 5]
[3, 0, 11, 12, 13]
[0, 11, 12, 13, 5]
[0, 2, 3, 4, 7, 14]
[0, 2, 3, 4, 8, 14]
[0, 9, 2, 3, 14]
[0, 2, 3, 7, 12, 14]
[0, 2, 3, 8, 12, 14]
[0, 2, 3, 4, 13, 14]
[0, 2, 3, 12, 13, 14]
[1, 2, 7, 4, 15]
[2, 7, 4, 5, 15]
[3, 7, 4, 6, 15]
[7, 4, 5, 6, 15]
[8, 1, 2, 4, 15]
[8, 2, 4, 5, 15]
[8, 3, 4, 6, 15]
[8, 4, 5, 6, 15]
[9, 2, 1, 15]
[9, 2, 5, 15]
[9, 3, 6, 15]
[9, 5, 6, 15]
[10, 7, 4, 2, 15]
[10, 7, 4, 6, 15]
[8, 10, 4, 2, 15]
[8, 10, 4, 6, 15]
[9, 10, 2, 15]
[9, 10, 6, 15]
[3, 9, 11, 15]
[9, 11, 5, 15]
[9, 10, 11, 15]
[1, 2, 7, 12, 15]
[2, 7, 12, 5, 15]
[3, 7, 12, 6, 15]
[7, 12, 5, 6, 15]
[8, 1, 2, 12, 15]
[8, 2, 12, 5, 15]
[8, 3, 12, 6, 15]
[8, 12, 5, 6, 15]
[1, 2, 4, 13, 15]
[4, 2, 5, 13, 15]
[3, 4, 13, 6, 15]
[4, 5, 13, 6, 15]
[10, 2, 4, 13, 15]
[10, 4, 13, 6, 15]
[3, 11, 4, 13, 15]
[4, 11, 5, 13, 15]
[10, 11, 4, 13, 15]
[1, 2, 12, 13, 15]
[5, 2, 12, 13, 15]
[3, 12, 13, 6, 15]
[5, 12, 13, 6, 15]
[3, 11, 12, 13, 15]
[5, 11, 12, 13, 15]
[2, 3, 4, 7, 14, 15]
[2, 3, 4, 8, 14, 15]
[9, 2, 3, 14, 15]
[2, 3, 7, 12, 14, 15]
[2, 3, 8, 12, 14, 15]
[2, 3, 4, 13, 14, 15]
[2, 3, 12, 13, 14, 15]
