[1, 5, 6, 7]
[3, 5, 6, 7]
[8, 1, 5, 7]
[8, 3, 5, 7]
[9, 5, 6, 1]
[8, 9, 5, 1]
[10, 5, 6, 7]
[8, 10, 5, 7]
[9, 10, 4]
[9, 10, 5, 6]
[8, 9, 10, 5]
[2, 11, 4]
[1, 2, 11, 6]
[1, 11, 6, 7]
[8, 1, 2, 11]
[8, 1, 11, 7]
[10, 11, 4, 7]
[10, 11, 6, 7]
[8, 10, 11, 7]
[1, 12, 5, 7]
[3, 12, 5, 7]
[9, 12, 5, 1]
[10, 12, 5, 7]
[9, 10, 12, 5]
[1, 2, 11, 12]
[1, 11, 12, 7]
[10, 11, 12, 7]
[0, 4, 13]
[2, 4, 13]
[0, 13, 6, 5]
[1, 2, 13, 6, 5]
[3, 13, 6, 5]
[8, 0, 13, 5]
[8, 1, 2, 13, 5]
[8, 3, 13, 5]
[10, 4, 13]
[10, 13, 6, 5]
[8, 10, 13, 5]
[0, 12, 13, 5]
[1, 2, 12, 13, 5]
[3, 12, 13, 5]
[10, 12, 13, 5]
[2, 4, 14]
[1, 2, 6, 14, 5]
[3, 6, 14, 5]
[8, 1, 2, 5, 14]
[8, 3, 5, 14]
[10, 4, 14]
[10, 6, 14, 5]
[8, 10, 5, 14]
[1, 2, 12, 5, 14]
[3, 12, 5, 14]
[10, 12, 5, 14]
[7, 5, 6, 15]
[8, 7, 5, 15]
[7, 11, 4, 15]
[7, 11, 6, 15]
[8, 7, 11, 15]
[7, 12, 5, 15]
[7, 11, 12, 15]
[4, 13, 15]
[5, 13, 6, 15]
[8, 5, 13, 15]
[5, 12, 13, 15]
[4, 14, 15]
[5, 6, 14, 15]
[8, 5, 14, 15]
[12, 5, 14, 15]
