[2, 4, 6]
[4, 6, 7]
[9, 2, 4]
[9, 4, 7]
[8, 10, 4, 2]
[8, 10, 4, 7]
[0, 11, 4, 6]
[0, 9, 11, 4]
[8, 0, 10, 11, 4]
[4, 2, 12]
[4, 12, 7]
[0, 4, 11, 12]
[1, 2, 4, 13]
[2, 4, 13, 5]
[1, 4, 13, 7]
[10, 2, 4, 13]
[10, 4, 13, 7]
[1, 11, 4, 13]
[11, 4, 13, 5]
[0, 10, 11, 4, 13]
[4, 6, 14]
[9, 4, 14]
[8, 10, 4, 14]
[4, 12, 14]
[1, 4, 13, 14]
[4, 13, 14, 5]
[10, 4, 13, 14]
[2, 3, 6, 15]
[7, 6, 15]
[8, 2, 3, 15]
[9, 2, 3, 15]
[9, 7, 15]
[8, 10, 2, 15]
[8, 10, 7, 15]
[3, 0, 11, 6, 15]
[8, 3, 11, 0, 15]
[3, 9, 11, 0, 15]
[8, 0, 10, 11, 15]
[2, 3, 12, 15]
[7, 12, 15]
[3, 0, 11, 12, 15]
[1, 2, 13, 15]
[2, 3, 13, 15]
[2, 5, 13, 15]
[1, 7, 13, 15]
[10, 2, 13, 15]
[10, 7, 13, 15]
[1, 11, 13, 15]
[3, 0, 11, 13, 15]
[11, 5, 13, 15]
[0, 10, 11, 13, 15]
[3, 6, 14, 15]
[8, 3, 14, 15]
[9, 3, 14, 15]
[8, 10, 14, 15]
[3, 12, 14, 15]
[1, 13, 14, 15]
[3, 13, 14, 15]
[5, 13, 14, 15]
[10, 13, 14, 15]
