[9, 2, 7]
[9, 5, 6, 7]
[10, 2, 7]
[10, 5, 6, 7]
[9, 11, 4, 7]
[9, 11, 6, 7]
[10, 11, 4, 7]
[10, 11, 6, 7]
[0, 2, 12]
[2, 3, 12]
[3, 12, 5, 6]
[2, 12, 7]
[12, 5, 6, 7]
[3, 4, 11, 12]
[0, 11, 12, 6]
[3, 11, 12, 6]
[4, 11, 12, 7]
[11, 12, 6, 7]
[9, 4, 14, 7]
[8, 9, 6, 14, 7]
[10, 4, 14, 7]
[8, 10, 6, 14, 7]
[4, 3, 12, 14]
[0, 12, 6, 14]
[4, 12, 14, 7]
[1, 12, 6, 14, 7]
[8, 3, 12, 6, 14]
[8, 12, 6, 14, 7]
[9, 13, 14]
[10, 13, 14]
[0, 12, 13, 14]
[1, 12, 13, 14]
[3, 12, 13, 14]
[9, 7, 5, 15]
[8, 9, 7, 15]
[10, 7, 5, 15]
[8, 10, 7, 15]
[7, 9, 11, 15]
[7, 10, 11, 15]
[1, 7, 12, 15]
[7, 12, 5, 15]
[8, 3, 12, 15]
[8, 7, 12, 15]
[7, 11, 12, 15]
[9, 5, 13, 15]
[10, 5, 13, 15]
[9, 11, 13, 15]
[10, 11, 13, 15]
[1, 12, 13, 15]
[5, 3, 12, 13, 15]
[0, 11, 12, 13, 15]
[3, 11, 12, 13, 15]
