[0, 6]
[1, 4, 6]
[6, 7]
[8, 4, 6]
[0, 9, 3]
[9, 4, 1]
[9, 3, 4]
[9, 3, 7]
[8, 9, 4]
[10, 4, 6]
[9, 10, 4]
[1, 11, 6]
[2, 11, 6]
[11, 5, 6]
[8, 11, 6]
[9, 11, 1]
[3, 9, 2, 11]
[3, 9, 11, 5]
[8, 9, 11]
[10, 11, 6]
[9, 10, 11]
[0, 3, 12]
[4, 12, 1]
[4, 3, 12]
[3, 12, 7]
[8, 4, 12]
[4, 10, 12]
[1, 11, 12]
[3, 2, 11, 12]
[3, 11, 12, 5]
[8, 11, 12]
[10, 11, 12]
[4, 13, 6]
[9, 4, 13]
[11, 13, 6]
[9, 11, 13]
[4, 12, 13]
[11, 12, 13]
[0, 14]
[1, 4, 14]
[14, 7]
[8, 4, 14]
[1, 11, 14]
[2, 11, 14]
[11, 5, 14]
[8, 11, 14]
[4, 6, 15]
[9, 4, 15]
[11, 6, 15]
[9, 11, 15]
[4, 12, 15]
[11, 12, 15]
[4, 14, 15]
[11, 14, 15]
