[3, 1, 10, 11]
[8, 1, 10, 11]
[9, 10, 11, 1]
[8, 0, 11, 13]
[8, 2, 11, 13]
[0, 9, 11, 13]
[9, 2, 11, 13]
[3, 10, 11, 13]
[8, 10, 11, 13]
[9, 10, 11, 13]
[1, 10, 11, 14]
[0, 11, 13, 14]
[2, 11, 13, 14]
[10, 11, 13, 14]
[1, 10, 3, 15]
[8, 1, 10, 15]
[9, 10, 4, 1, 15]
[9, 10, 1, 5, 15]
[9, 10, 7, 1, 15]
[9, 10, 12, 1, 15]
[8, 0, 13, 15]
[8, 2, 13, 15]
[0, 9, 4, 13, 15]
[9, 2, 4, 13, 15]
[9, 2, 5, 13, 15]
[0, 9, 7, 13, 15]
[9, 2, 7, 13, 15]
[10, 3, 13, 15]
[8, 10, 13, 15]
[9, 10, 4, 13, 15]
[9, 10, 5, 13, 15]
[9, 10, 13, 6, 15]
[9, 10, 7, 13, 15]
[0, 9, 12, 13, 15]
[9, 2, 12, 13, 15]
[9, 10, 12, 13, 15]
[1, 10, 5, 14, 15]
[1, 10, 7, 14, 15]
[2, 5, 13, 14, 15]
[0, 7, 13, 14, 15]
[2, 7, 13, 14, 15]
[10, 5, 13, 14, 15]
[10, 6, 13, 14, 15]
[10, 7, 13, 14, 15]
