[3, 4]
[8, 3, 5]
[8, 3, 6]
[10, 4, 2]
[1, 10, 7]
[8, 10, 2, 5]
[8, 1, 10, 6]
[8, 10, 2, 6]
[10, 11, 7]
[8, 10, 11, 5]
[8, 10, 11, 6]
[0, 3, 12]
[8, 9, 3, 12]
[0, 10, 12]
[8, 1, 10, 12]
[8, 9, 10, 12]
[8, 10, 11, 12]
[3, 13, 7]
[10, 2, 13, 7]
[8, 3, 12, 13]
[8, 10, 2, 12, 13]
[3, 5, 14]
[3, 6, 14]
[10, 2, 5, 14]
[1, 10, 6, 14]
[10, 2, 6, 14]
[10, 11, 5, 14]
[10, 11, 6, 14]
[9, 3, 12, 14]
[1, 10, 12, 14]
[9, 10, 12, 14]
[10, 11, 12, 14]
[3, 12, 13, 14]
[10, 2, 12, 13, 14]
[3, 5, 15]
[3, 6, 15]
[10, 5, 15]
[10, 6, 15]
[9, 3, 12, 15]
[9, 10, 12, 15]
[3, 12, 13, 15]
[10, 12, 13, 15]
