[1, 3]
[3, 4]
[1, 6]
[4, 6]
[1, 7]
[4, 7]
[9, 3]
[9, 6]
[9, 7]
[1, 11]
[11, 4]
[9, 11]
[0, 12, 6]
[0, 12, 7]
[10, 3, 12]
[10, 12, 6]
[10, 12, 7]
[0, 11, 12]
[2, 11, 12]
[10, 11, 12]
[1, 13]
[4, 13]
[9, 13]
[0, 12, 13]
[10, 12, 13]
[0, 6, 14]
[6, 14, 5]
[0, 14, 7]
[8, 6, 14]
[10, 3, 14]
[10, 6, 14]
[10, 14, 7]
[0, 11, 14]
[2, 11, 14]
[11, 5, 14]
[8, 11, 14]
[10, 11, 14]
[0, 13, 14]
[13, 14, 5]
[8, 13, 14]
[10, 13, 14]
[3, 15]
[0, 6, 15]
[5, 6, 15]
[0, 7, 15]
[8, 6, 15]
[0, 11, 15]
[2, 11, 15]
[11, 5, 15]
[8, 11, 15]
[0, 13, 15]
[5, 13, 15]
[8, 13, 15]
