[0, 2]
[0, 3, 5]
[2, 7]
[3, 5, 7]
[4, 5, 7]
[8, 5, 7]
[9, 6, 1]
[0, 9, 3, 6]
[9, 3, 6, 7]
[9, 4, 6, 7]
[8, 9, 6, 7]
[0, 10, 5]
[10, 5, 7]
[0, 9, 10, 6]
[9, 10, 6, 7]
[0, 9, 11]
[9, 11, 7]
[9, 12, 6]
[0, 3, 13]
[3, 13, 7]
[4, 13, 7]
[8, 13, 7]
[0, 10, 13]
[10, 13, 7]
[0, 11, 13]
[11, 13, 7]
[0, 5, 14]
[1, 5, 14]
[0, 6, 14]
[1, 6, 14]
[5, 14, 7]
[6, 14, 7]
[12, 5, 14]
[12, 6, 14]
[0, 13, 14]
[1, 13, 14]
[13, 14, 7]
[12, 13, 14]
[0, 5, 15]
[1, 5, 15]
[0, 6, 15]
[1, 6, 15]
[7, 5, 15]
[7, 6, 15]
[12, 5, 15]
[12, 6, 15]
