[0, 6, 7]
[0, 10, 7]
[0, 11, 12, 7]
[10, 13, 7]
[12, 13, 7]
[0, 2, 6, 14]
[0, 3, 6, 14]
[0, 6, 14, 5]
[0, 9, 6, 14]
[0, 10, 2, 14]
[0, 10, 3, 14]
[0, 10, 5, 14]
[0, 9, 10, 14]
[0, 2, 12, 14]
[0, 12, 5, 14]
[0, 9, 12, 14]
[3, 0, 11, 12, 14]
[10, 3, 13, 14]
[3, 12, 13, 14]
[4, 6, 15]
[7, 6, 15]
[8, 3, 6, 15]
[10, 4, 15]
[1, 10, 7, 15]
[8, 10, 3, 15]
[4, 12, 15]
[1, 7, 12, 15]
[8, 3, 12, 15]
[7, 11, 12, 15]
[2, 6, 14, 15]
[3, 6, 14, 15]
[5, 6, 14, 15]
[9, 6, 14, 15]
[10, 2, 14, 15]
[1, 10, 3, 14, 15]
[10, 5, 14, 15]
[9, 10, 14, 15]
[2, 12, 14, 15]
[1, 3, 12, 14, 15]
[12, 5, 14, 15]
[9, 12, 14, 15]
[3, 11, 12, 14, 15]
