[4, 5, 7]
[9, 5, 7]
[1, 10, 7]
[8, 10, 7]
[11, 5, 7]
[4, 12, 5, 6]
[9, 12, 5, 6]
[10, 2, 12, 5]
[1, 10, 12, 6]
[8, 10, 12, 6]
[2, 11, 12, 5]
[11, 12, 5, 6]
[4, 12, 13, 5]
[9, 12, 13, 5]
[1, 10, 12, 13]
[8, 10, 12, 13]
[11, 12, 13, 5]
[4, 14, 7]
[9, 14, 7]
[0, 10, 14, 7]
[11, 14, 7]
[4, 3, 12, 14]
[4, 12, 6, 14]
[9, 12, 6, 14]
[10, 12, 2, 14]
[10, 3, 12, 14]
[2, 11, 12, 14]
[3, 11, 12, 14]
[11, 12, 6, 14]
[4, 12, 13, 14]
[9, 12, 13, 14]
[0, 10, 12, 13, 14]
[11, 12, 13, 14]
[10, 7, 5, 15]
[10, 12, 5, 6, 15]
[10, 5, 12, 13, 15]
[10, 7, 14, 15]
[10, 12, 6, 14, 15]
[10, 12, 13, 14, 15]
