[9, 11, 5]
[0, 9, 11, 7]
[3, 11, 12, 5]
[11, 12, 5, 6]
[0, 11, 12, 7]
[1, 11, 12, 7]
[3, 11, 12, 7]
[11, 12, 6, 7]
[8, 11, 12, 5]
[8, 11, 12, 7]
[9, 11, 13, 7]
[11, 12, 13, 7]
[9, 11, 14]
[3, 11, 12, 14]
[11, 12, 6, 14]
[8, 11, 12, 14]
[9, 4, 5, 15]
[0, 9, 7, 15]
[10, 3, 4, 5, 15]
[0, 10, 7, 15]
[1, 10, 7, 15]
[3, 10, 7, 15]
[2, 12, 5, 15]
[4, 3, 12, 5, 15]
[12, 5, 6, 15]
[0, 7, 12, 15]
[1, 7, 12, 15]
[2, 7, 12, 15]
[3, 7, 12, 15]
[7, 12, 6, 15]
[8, 4, 12, 5, 15]
[8, 7, 12, 15]
[9, 4, 13, 15]
[9, 7, 13, 15]
[10, 4, 13, 15]
[10, 7, 13, 15]
[4, 12, 13, 15]
[7, 12, 13, 15]
[9, 4, 14, 15]
[10, 3, 4, 14, 15]
[2, 12, 14, 15]
[4, 3, 12, 14, 15]
[12, 6, 14, 15]
[8, 4, 12, 14, 15]
