[1, 3, 4, 5]
[0, 3, 6]
[1, 3, 5, 6]
[0, 3, 7]
[1, 3, 5, 7]
[8, 1, 4, 5]
[8, 0, 6]
[8, 1, 5, 6]
[8, 0, 7]
[8, 1, 5, 7]
[9, 3, 4, 1]
[9, 3, 6, 1]
[9, 3, 1, 7]
[8, 9, 4, 1]
[8, 9, 6, 1]
[8, 9, 1, 7]
[1, 10, 3]
[8, 1, 10]
[1, 11, 4, 5]
[2, 11, 4, 5]
[0, 2, 11, 6]
[1, 11, 5, 6]
[2, 11, 5, 6]
[0, 2, 11, 7]
[1, 11, 5, 7]
[2, 11, 5, 7]
[9, 11, 4, 1]
[9, 2, 11, 4]
[9, 11, 6, 1]
[9, 2, 11, 6]
[9, 11, 1, 7]
[9, 2, 11, 7]
[1, 10, 11]
[10, 11, 2]
[4, 12, 5, 1]
[4, 2, 12, 5]
[0, 2, 12, 6]
[1, 12, 5, 6]
[2, 12, 5, 6]
[0, 2, 12, 7]
[1, 12, 5, 7]
[2, 12, 5, 7]
[9, 12, 4, 1]
[9, 2, 12, 4]
[9, 12, 6, 1]
[9, 2, 12, 6]
[9, 12, 1, 7]
[9, 2, 12, 7]
[1, 10, 12]
[10, 12, 2]
[11, 13, 6, 5]
[11, 5, 13, 7]
[9, 11, 13, 6]
[9, 11, 13, 7]
[10, 11, 13]
[12, 13, 6, 5]
[5, 12, 13, 7]
[9, 12, 13, 6]
[9, 12, 13, 7]
[10, 12, 13]
[11, 6, 14, 5]
[11, 5, 14, 7]
[9, 11, 6, 14]
[9, 11, 14, 7]
[12, 6, 14, 5]
[12, 5, 14, 7]
[9, 12, 6, 14]
[9, 12, 14, 7]
[0, 2, 6, 15]
[1, 5, 6, 15]
[2, 5, 6, 15]
[9, 1, 6, 15]
[9, 2, 6, 15]
[1, 10, 15]
[10, 2, 15]
