[0, 10, 5]
[10, 5, 6]
[0, 10, 7]
[0, 10, 11]
[0, 4, 12, 5]
[4, 12, 5, 6]
[0, 4, 12, 7]
[8, 4, 12, 0]
[8, 4, 12, 1]
[8, 4, 3, 12]
[8, 4, 12, 6]
[0, 11, 12]
[0, 10, 13]
[1, 10, 13]
[10, 3, 13]
[10, 13, 6]
[0, 2, 12, 13]
[0, 4, 12, 13]
[4, 12, 13, 1]
[4, 3, 12, 13]
[4, 12, 13, 6]
[0, 9, 12, 13]
[0, 12, 14]
[1, 12, 14]
[3, 12, 14]
[12, 6, 14]
[0, 4, 5, 15]
[4, 5, 6, 15]
[0, 7, 4, 15]
[8, 0, 4, 15]
[8, 1, 4, 15]
[8, 3, 4, 15]
[8, 4, 6, 15]
[0, 11, 15]
[0, 2, 13, 15]
[0, 4, 13, 15]
[1, 4, 13, 15]
[3, 4, 13, 15]
[4, 13, 6, 15]
[0, 9, 13, 15]
[0, 14, 15]
[1, 14, 15]
[3, 14, 15]
[6, 14, 15]
